model,horizon,n_origins,mean_LPS,MAE_model,RMSE_model,MAE_raw,RMSE_raw
SAR111,1,2,3.13870155432888,0.004780854932377648,0.005878670308596716,22.122006656067697,27.355003562354458
SAR111,2,2,2.372599931722548,0.017159880368790265,0.0203247079541747,81.13044804776382,96.56552072180271
SAR111,3,2,2.4883936192722436,0.019760887819763498,0.019786394087446837,102.66061180906308,103.04148641050769
SAR111,4,2,2.106682393294501,0.019414677019506235,0.02713456501065696,108.95941287657206,152.09834064095955
SAR111,5,2,2.3272599046158984,0.0163037200334491,0.016535438997321912,95.70908557484972,96.58278602570059
SAR111,6,2,2.300641571732531,0.016929854249656616,0.016944128791299837,102.27030429356955,102.51144673851691
SAR111,7,2,2.3318006651755168,0.00529460659603137,0.0060688825222342735,32.950344987835706,38.052718069920886
SAR111,8,2,2.2273974260357985,0.009508511542690015,0.01247036777022101,60.35429783846712,79.42289453239985
SAR111,9,2,2.1440745211912104,0.011262898059306331,0.015926018456688652,71.74299554116669,101.44698888736157
SAR111,10,2,2.0758463391826503,0.01507254096650959,0.019857338697796795,96.81379334065923,127.93759182890001
SAR111,11,2,2.0433143146043236,0.015698283735903207,0.02164017912021005,100.81470585609713,139.10795759165325
SAR111,12,2,1.8736580532375091,0.028410344415811792,0.033277414964032255,181.13696868740726,213.41043975690278
SAR111,13,2,1.8032320642290507,0.031151521271586463,0.037707587831805764,199.53821777940993,242.88153772096746
SAR111,14,2,1.8454117060708874,0.02508988025268033,0.031524863870847034,159.26850071374247,201.1926904649099
SAR111,15,2,1.9401332154613398,0.017926448288362262,0.024524292514305674,107.45067686372386,147.23565122194742
SAR111,16,2,1.9056051396283165,0.01792298076451449,0.024099735801377507,102.40748222523325,138.0354878813494
SAR111,17,2,1.9931282870593834,0.005056192926199996,0.0058306937440456355,27.215575269567125,31.002750497442566
SAR111,18,2,2.005694885254738,0.0046269669897922895,0.00526931145567733,25.879657321636387,29.78472678811915
SAR111,19,2,1.982615016220763,0.012585831061038135,0.01371229690352977,65.6186410287728,71.99581160252303
SAR111,20,2,1.9549421987290911,0.006094543016998473,0.006649591650789641,30.433780849743926,33.373514253341696
SAR111,21,2,1.9432424068041676,0.003565850973601005,0.004490512311069615,18.280839339350678,22.93626726046791
SAR111,22,2,1.9679167774783703,0.005553471909325591,0.0055977246060631555,26.925719644049423,27.2006395210986
SAR111,23,2,2.021662579767487,0.006237646726751455,0.006240736431308627,31.43915780324369,31.474274347298522
SAR111,24,2,2.0136393015888534,0.007204463637828763,0.007561083019259486,33.15541104630893,34.59647958561255
SAR111,25,2,1.9819835936900316,0.009639521312630295,0.00999923901407201,43.598799255313224,45.52785648581336
SAR111,26,2,1.9822023577955152,0.00345158933476436,0.003970020579092748,15.351252590691729,17.442865478129143
SAR111,27,2,1.8612906225148538,0.00872650887168925,0.011496303635220879,46.07295767210144,61.35832973055764
SAR111,28,2,1.7920191892713802,0.00796549230372167,0.008025795266269942,44.22619253483299,45.513943433790175
SAR111,29,2,1.7904007542401041,0.017026048332593698,0.020436114830587916,100.71984487456484,123.89875504567448
SAR111,30,2,1.6715807728322651,0.027890216372996622,0.03627911143179685,172.81280612516593,227.73529045523387
SAR111,31,2,1.4449609444588756,0.045111003067018075,0.053521102928634295,279.50244492298134,339.4093864873562
SAR111,32,2,1.1071337830596062,0.06025100337788265,0.06929315850160551,376.24435190631993,444.45035909268483
SAR111,33,2,0.7094900863026128,0.07147997351008312,0.07997358727883637,446.33347291334667,514.0803409753938
SAR111,34,2,0.5718934509871115,0.0814174105174258,0.08739251846966568,507.0185910599971,561.3498223003079
SAR111,35,2,0.4873872593286153,0.08753961391221017,0.0948518654194613,548.6009254549404,613.5451326186158
SAR111,36,2,0.36175758732893953,0.09072741034508104,0.09882909298270383,569.7028634468552,640.1239222844582
SAR111,37,2,0.22884464271983562,0.09333688676487874,0.0994973664494761,587.0435325000935,643.7154871009241
SAR111,38,2,0.27876677985095055,0.0963728026697104,0.09949991524586357,589.6973247605015,621.7882770260352
SAR111,39,2,0.5372104528461067,0.08209421386647978,0.08370362464314589,474.5729876802311,490.8555749746436
SAR111,40,2,0.4073192229862721,0.08249812838273984,0.0860746026298663,458.4417986788271,486.43697092834657
SAR111,41,2,0.8686445785694598,0.061175186326595035,0.07125290629908249,346.21510298148905,410.99999302032904
SAR111,42,2,1.1831091848498267,0.05667996606230462,0.0615217746195707,312.5684435569756,344.7338715283372
SAR111,43,2,1.5871918956703306,0.0407294913751436,0.04100767456484014,208.30712497149852,210.68155091845279
SAR111,44,2,1.7003472507144177,0.022302400749773424,0.022659874544497617,109.77871025641161,111.95960881805172
SAR111,45,2,1.8553045243913218,0.020641383228147726,0.02079558551572819,106.19728484957568,107.37239904440172
SAR111,46,2,1.7790387386810531,0.006641164266464918,0.006785173634014149,31.97819197923718,32.88955525865292
SAR111,47,2,1.8411896952405407,0.003811184868071808,0.0038802065860852187,19.159688545413246,19.61773278235244
SAR111,48,2,1.7121087188122819,0.01689445799757064,0.019978783924511856,76.14113001750138,89.29888204482347
SAR111,49,2,1.5235911046110941,0.02896376082611489,0.029658145727890762,127.96791558976702,131.79873944670936
SAR111,50,2,1.6374790311353973,0.01830438535966499,0.01955349540039809,80.73081608086159,84.71335586436133
SAR111,51,2,1.5962193938642373,0.026742857204292432,0.028813333379006455,123.25904424565806,128.42253378078127
SAR111,52,2,1.5046809210641485,0.029413960825927427,0.029576564449526818,159.83975348977356,165.25731770748214
SAR111,53,2,1.6334781355536445,0.030184457531879365,0.030190541225986526,161.72021084047947,163.81522703762718
SAR111,54,2,1.5742527609630743,0.03461446924874431,0.03499250455573786,187.50877733773677,187.57282943186902
SAR111,55,2,1.5800798689163278,0.03541886506984002,0.03935867079352839,189.11799899252765,203.53591885321924
SAR111,56,2,1.5522071693382204,0.03962737765829523,0.04470731211889605,215.08687681163383,235.7872064723277
SAR111,57,2,1.4553405969816282,0.044348740183561865,0.05762001237590708,236.31012494117385,302.4698760254336
SAR111,58,2,1.4451757464297346,0.052170173193308265,0.06231225770035083,283.9321400513468,330.7792998508668
SAR111,59,2,1.331652878755574,0.06066139005430993,0.07143812806718697,333.71343047116216,383.5427857223329
SAR111,60,2,1.1455773413411487,0.07004310198277555,0.08439630577568019,387.7753087494243,457.8701553349371
SAR111,61,2,1.1132642141655813,0.07850067637598358,0.09063816688252435,445.8702902863738,504.7064902485719
SAR111,62,2,1.1732956848644183,0.08413696976457485,0.09941738902483191,480.37676870237965,560.0472803644852
SAR111,63,2,1.073097403942324,0.0799730786111634,0.09464669716313934,446.9987562221286,525.2277376326999
SAR111,64,2,1.2536171703382923,0.06244859822336789,0.08122469424587096,336.23695807228296,435.7352918114648
SAR111,65,2,1.3639394722260785,0.057212584599541746,0.07728682487220208,306.37520894167983,413.07178513943416
SAR111,66,2,1.5901822534612489,0.040643648105024216,0.054532790121329194,218.71185990185268,293.03682351315507
SAR111,67,2,1.6386333190756677,0.03386442449375325,0.04333157612949679,172.75674198496745,220.59631759299808
SAR111,68,2,1.6203303946326018,0.02953739459117015,0.038286761895604225,143.8441703425442,185.89925077804028
SAR111,69,2,1.6499561401002438,0.02290069960482906,0.027327171860773967,115.95448136298455,137.65824027159468
SAR111,70,2,1.6687941768524213,0.028185761713865935,0.030194586355341033,134.51155708221222,143.52548383870237
SAR111,71,2,1.6339215335546624,0.012943600625627981,0.013063854765240614,64.7098546188895,65.36711066106334
SAR111,72,2,1.6752181633420566,0.020294401262073332,0.022932264906724176,93.82568442590764,106.0362121655774
SAR111,73,2,1.5769800450188618,0.025798502698539727,0.02735129500252711,115.06376312750763,121.73317111454654
SAR111,74,2,1.6245619385001868,0.02193253460456107,0.02366976041122439,99.61903097143659,106.7763327458097
SAR111,75,2,1.6554871713762112,0.010607720732097998,0.010973208737899852,51.65584623728455,52.8502778815576
SAR111,76,2,1.6996779849743466,0.004795820278692195,0.005024744089676795,25.726724814445788,26.50279091373852
SAR111,77,2,1.58097993206089,0.008636350819172064,0.009792320848142197,46.744546546961374,51.78343897123737
SAR111,78,2,1.5555890332316444,0.013540135527434514,0.013951384214290942,77.81728376370211,78.90772954100949
SAR111,79,2,1.6886547522553441,0.008485400786708501,0.009840109218570313,53.20892832129721,63.29442987806525
SAR111,80,2,1.6887767535980958,0.0093414333229042,0.009502447471696254,57.44382360958389,59.75649913233411
SAR111,81,2,1.6671704081959744,0.00878542525953907,0.009112025959422036,54.75664752405919,58.48288080085839
SAR111,82,2,1.6967611026313878,0.008254604400432554,0.00857418947986404,48.363392847732484,49.00412009366719
SAR111,83,2,1.6420327136423591,0.013502609349023517,0.016451574763926658,73.88648579999153,86.94849892224467
SAR111,84,2,1.6062797445518928,0.020273918342740335,0.020591584371039383,118.92881364823597,119.04063955176872
SAR111,85,2,1.5662505575808194,0.030376789147987672,0.03038273604903857,182.82903225980635,184.0364719844017
SAR111,86,2,1.569434001655703,0.024829520102800512,0.025020783408498302,145.74625007438,145.7463592929547
SAR111,87,2,1.5537327990314065,0.025152647233948878,0.025237257247045796,143.2456041746791,143.28461150436522
SAR111,88,2,1.589495096611274,0.027541136927715884,0.027813805534396496,153.0623759493228,157.11075693458994
SAR111,89,2,1.687891931014804,0.02021557143510637,0.020223211136842712,110.988266477048,111.58889450304409
SAR111,90,2,1.7080615290006553,0.01841182444149042,0.01951669966766539,98.38822733506686,102.44563665520937
SAR111,91,2,1.679870118151522,0.014304257143440451,0.017322668089011322,71.44731005393169,85.38899464003637
SAR111,92,2,1.6482009944157432,0.0127522514633421,0.01725875859196547,61.37642573587618,82.79431481425566
SAR111,93,2,1.7140110834345956,0.01251061313559389,0.01647055958063622,62.911846032720405,82.4293366435614
SAR111,94,2,1.6383837763675835,0.017806439605812498,0.02351228696151034,83.40284687406984,109.61760018632468
SAR111,95,2,1.6838406784555708,0.01799259823280055,0.02050559473612731,89.24333302292189,100.7582240014144
SAR111,96,2,1.4815590362092634,0.026312152125693565,0.03249813027594096,119.45126859789207,146.43207877405987
SAR111,97,2,1.3898749485102129,0.026455129278220954,0.033166156687143136,113.36679875964228,140.65628469316692
SAR111,98,2,1.4253198504560822,0.03305781637155041,0.039386045277433356,141.6311298466917,165.22662658846144
SAR111,99,2,1.4389329826938606,0.04056826436745132,0.04211937051988959,187.84087182880694,190.54826154169538
SAR111,100,2,1.5065717926529743,0.040914696850793415,0.041472861864807746,219.71316917720605,229.1893662726423
SAR111,101,2,1.5236612672635905,0.026769013716003792,0.026769040570490194,144.8914529018407,146.42111207465396
SAR111,102,2,1.573716055933517,0.015140173334586893,0.020042026771731964,75.23128159690668,97.72818005538181
SAR111,103,2,1.6669489567403115,0.012890463214878165,0.0141329060895381,69.55862069372506,73.41224478593335
SAR111,104,2,1.5767046756397094,0.03155881171270514,0.0342866436764539,173.45977986650269,181.65680355568477
SAR111,105,2,1.388067178507038,0.04173478536285201,0.04530676191461665,232.8156123556555,242.87639707747954
SAR111,106,2,1.1571348393062777,0.050978907592761566,0.05439350514314097,287.26255786957427,295.2100022294161
SAR111,107,2,0.849367058076756,0.07252289341976176,0.07477796576841259,418.9213747917247,421.2248188442342
SAR111,108,2,0.7362728537843346,0.07784641693931454,0.08458558501261695,438.46866070744545,458.04429340525
SAR111,109,2,0.43916946164271686,0.07923700277984691,0.08911110316186709,445.90413233825575,482.51856199529027
SAR111,110,2,0.5964336637046996,0.06429336136298165,0.08347640005821301,350.5403149417448,447.3258499279813
SAR111,111,2,0.857479132368861,0.07209335939336864,0.08566140350224208,394.2047253907431,458.5553349775318
SAR111,112,2,0.5882783957998928,0.09029660790326154,0.10570702909026469,487.5273470513098,562.4182748514105
SAR111,113,2,0.7583561368885733,0.07737776640954223,0.08495911912281333,422.1631402404164,458.78752068558765
SAR111,114,2,1.2055135780342983,0.04906936532460211,0.060196786095693976,265.52835887309175,323.50829360054314
SAR111,115,2,1.2253060878258057,0.04470522827275022,0.058368235558842796,227.19579846584566,295.58035125400943
SAR111,116,2,1.1665376544045456,0.04046941580956313,0.05299715707270597,198.14067650741117,258.7620449635602
SAR111,117,2,1.3842926935778994,0.03512738475311975,0.045180782311711846,179.60294057211377,230.19352886275118
SAR111,118,2,1.258930923439437,0.03978303824655736,0.04674123098443124,192.99157090601784,225.9076447299418
SAR111,119,2,1.4963274994136242,0.026662906587898605,0.031453959541932135,135.22264448697433,159.03149517598013
SAR111,120,2,1.2674798027310683,0.03657820489925142,0.040922230470512196,172.6523418938923,192.85773728060454
SAR111,121,2,1.2392253016127346,0.041686681341267046,0.04889977069272259,191.37936813248734,224.14344516943558
SAR111,122,2,1.3508403380313216,0.03129492110058837,0.037599138250045336,147.70776331048683,177.1562796527921
SAR111,123,2,1.5847759655824967,0.019223859109765817,0.02030185423451886,101.78761992041655,107.68137163379332
SAR111,124,2,1.4342542905033837,0.030061429104898424,0.03506994011620927,178.05845142425233,206.60430315569567
SAR111,125,2,1.256043267888589,0.03998992001447847,0.03999436679663601,242.9776478814706,242.97785684363447
SAR111,126,2,1.0223570071543417,0.05595487901535842,0.05760386282495178,350.82563019076315,361.9321755539076
SAR111,127,2,0.76835916040105,0.07786062671404041,0.07835672601201059,495.4092970032666,499.58051177886193
SAR111,128,2,0.6125746488502264,0.09594845544676348,0.0963108365846603,620.5836677907578,624.0694242091777
SAR111,129,2,0.7168960193748157,0.10375913289764481,0.10394271882249285,670.5362250900889,672.4363284591791
SAR111,130,2,0.6160052262765159,0.11687534817735967,0.11732561968245808,757.6363912348324,759.7450044349323
SAR111,131,2,0.5754004013827052,0.11421486153298832,0.11497498305051786,744.2796465623692,748.5559659075001
SAR111,132,2,0.5933548024445696,0.10935711918766168,0.1119064311463325,710.7788675902189,727.3837719354575
SAR111,133,2,0.5236901201557855,0.1138022696630459,0.1175137860008282,741.0754944349283,764.9255898887728
SAR111,134,2,0.4778474521433542,0.11412515471989435,0.11721146644479503,728.7830396444288,747.8166306131789
SAR111,135,2,0.43265276623374443,0.11176021869238369,0.11313713029877014,674.8390657597315,681.8833284583717
SAR111,136,2,0.5913284930447132,0.10816758865042793,0.10817414044058196,622.7933219012452,622.8130726302974
SAR111,137,2,0.6742516781901191,0.08761455957177963,0.08764349163532384,496.2630984287066,496.26711153468096
SAR111,138,2,1.1608288859892502,0.042683635366711874,0.06008093414046442,237.52512425856548,334.3215969230099
SAR111,139,2,1.2569867380645017,0.038472559803240595,0.047257826285658666,201.48287362746987,247.5230099822975
SAR111,140,2,1.3409003065640368,0.027406344707817054,0.03463219894774633,137.5918414952862,173.96473033585193
SAR111,141,2,1.437015605593639,0.0226491446301435,0.029862460244676304,119.26293451669244,157.28723822381355
SAR111,142,2,1.5382759798440304,0.014551759680434033,0.017052126732025594,71.17408743971828,83.31939333272632
SAR111,143,2,1.5617799389530558,0.017389455686071822,0.021571414464622185,88.24363629219351,109.37052258188875
SAR111,144,2,1.5661606452118728,0.01653516270040048,0.023304557457453027,78.07844714391103,110.04221608167836
SAR111,145,2,1.4012407935676405,0.026494063788957162,0.0320334119870628,121.07821062452058,146.2643610759785
SAR111,146,2,1.2843290262781177,0.03126409694261695,0.03268338771787409,147.8783313193644,154.93758923444827
SAR111,147,2,1.3818734916359479,0.034791711879156056,0.04132632542616196,182.29031877594707,216.16541587321169
SAR111,148,2,1.2078815241059833,0.045812844746732626,0.0605303016975215,268.8794145468037,354.4510984610959
SAR111,149,2,1.157925794644166,0.04738939165335439,0.0629000632475883,282.99872894723376,375.39390106241495
SAR111,150,2,1.1015069266487054,0.06075578470113449,0.07790051049215166,377.91350546582044,484.56457924105837
SAR111,151,2,1.0388149499228243,0.07660913824113162,0.08901809453463186,490.60662432608615,571.1291612432203
SAR111,152,2,1.0089510863615074,0.08679852301325211,0.10255277308867186,569.0266069437971,674.9246458276154
SAR111,153,2,0.8679338637118348,0.10570339057074282,0.11753388915411717,698.0581241806794,780.496530984924
SAR111,154,2,0.43891706163928373,0.12754457913955772,0.13689283374461272,858.0251639857106,926.3225675963818
SAR111,155,2,0.04778199004560507,0.1496172053882207,0.1618319939649906,1022.235315954702,1112.9837361228647
SAR111,156,2,-0.28084914729596455,0.16808665133251038,0.17755487266582062,1159.7392571622522,1233.7753951860138
SAR111,157,2,-0.5822634371055225,0.1764007190516945,0.18230849023878268,1228.918453752302,1278.1435351407285
SAR111,158,2,-0.7254376731886307,0.1990781153411605,0.20385691651281992,1381.828258149364,1424.330436939658
SAR111,159,2,-0.9058414670174133,0.2133139222696975,0.21996456710112847,1413.170832247973,1466.1187832091061
SAR111,160,2,-0.6810073764337292,0.21777883267112494,0.22477021416949056,1371.4525075357215,1423.2260414225036
SAR111,161,2,-0.5461034223311763,0.19424306427334892,0.20397418781724008,1202.0945820878806,1267.261950383958
SAR111,162,2,-0.3530223322521361,0.1777971794829967,0.18876254946062054,1088.3297640085661,1158.1129804170125
SAR111,163,2,0.13619150992169965,0.14542739342555827,0.1590442037943485,825.5558343903854,905.4435274969601
SAR111,164,2,0.6707307411612734,0.11000896736716136,0.12491246600660172,585.4629827823383,666.4459410095525
SAR111,165,2,0.9331096498682359,0.07373666379333274,0.08356647535501338,402.79454482413485,456.68358073938094
SAR111,166,2,1.3292049907662447,0.045308664806039234,0.06203637725992658,229.20572087981054,313.7924982399978
SAR111,167,2,1.2706282492723533,0.04725013957638814,0.0655850794322892,249.95441876728455,346.9718269016722
SAR111,168,2,1.298128800318316,0.041953616734158705,0.0561627101322732,203.88464335209437,272.93701866685086
SAR112,1,2,3.2610435221848126,0.002108910742668481,0.0023724900336840687,9.68966936957895,10.97909842971495
SAR112,2,2,2.4292366047502463,0.019009122753109467,0.02022355047818165,89.2852505040978,95.50400100695309
SAR112,3,2,2.42020019488465,0.01907168355357236,0.019088752957362377,99.03765713090206,99.33393854495223
SAR112,4,2,2.258820593780442,0.01760395098916244,0.023504384278041957,99.51957962537745,132.14194921203247
SAR112,5,2,2.5334665408166535,0.004230189277090596,0.0054923390412033235,24.403218057984304,31.50910034545014
