model,p_regular,p_daily,p_weekly,n_origins,mean_LPS,MAE_model,RMSE_model,MAE_raw,RMSE_raw
SAR111,1,1,1,2,1.3124734889311689,0.04833923994768177,0.07105590239731885,283.8827276810921,438.22304242384837
SAR121,1,2,1,2,1.2934623558720193,0.05052469830697248,0.07075811655785734,295.19573549393925,434.58901676904213
SAR112,1,1,2,2,1.2736191963981238,0.05637035884162525,0.0793990776218772,327.02678495399624,484.0027946865763
SAR122,1,2,2,2,1.2565071374759993,0.05549677194950306,0.07726984213013453,322.63590322151333,472.3981839363093
SAR312,3,1,2,2,1.2143317045540223,0.05624619125516195,0.07833304407072524,327.15921040365726,478.960236849318
SAR322,3,2,2,2,1.2032449897423558,0.05743060752190867,0.07935832593859415,333.27584372191205,483.46720891272116
SAR311,3,1,1,2,1.1963862459225638,0.04855010315686653,0.06953427053912654,285.9738412474075,429.57304669782167
SAR211,2,1,1,2,1.179518107995524,0.04772969439939785,0.06973447484203593,281.65023358390164,432.2333267400798
SAR222,2,2,2,2,1.1793626703031368,0.056405534436928285,0.07980252365513921,328.1664584169548,488.26281296501367
SAR321,3,2,1,2,1.1748939673726582,0.04984740544428813,0.06987453074156495,291.5740905370669,429.15963844057745
SAR212,2,1,2,2,1.1731593374415592,0.058087475488899996,0.07972341750803466,337.9566435440072,486.4758916995952
SAR221,2,2,1,2,1.1224975409540625,0.05076427247260745,0.07400102488890332,296.84454002583817,454.3199044481809
