Horizon,LPS,MAE,RMSE
92,1.2093465350508759,232.81245517224428,295.2138275934509
93,1.245651948481072,218.31647959128162,266.2696806719369
94,1.2325913251020333,205.8822163096411,252.8286085079126
95,1.16795402161949,218.7453990151127,263.3987594051437
96,1.1459747148115005,216.19153188511763,264.22387164916546
97,1.1204741639139597,222.6300757261603,272.2036065491909
98,1.1418317664213686,231.72192112156213,268.06493911026905
99,1.0346537832372584,297.8395752543511,347.0896504819405
100,0.9408064244945635,382.32739017934176,442.164021592129
101,0.8225941774996021,431.07800905597736,506.3069990793741
102,0.7453328863075221,431.9526000110903,525.7836379606753
103,0.638851134620528,466.7865074416874,552.1081618771602
104,0.5253211728782708,490.8873429714229,596.6352454919003
105,0.33890539674235265,549.6283024169257,656.2561041342769
106,0.3824253630949015,556.5247996379027,654.5719389924996
107,0.3825971540559706,559.9424002686832,654.1656104230278
108,0.3402133696462302,606.5104791439273,713.910127548498
109,0.4469182234909476,579.0080362015093,770.5923514942242
110,0.552543898016915,580.4167271657021,790.5606487603497
111,0.6290419556071788,585.0791722826374,798.0745167791702
112,0.7116422405473461,550.8222677754698,728.8035513303392
113,0.7942368406596968,488.3388698354043,646.0671730786427
114,0.889535555987265,419.6830996776758,531.932405079397
115,1.033525544009917,318.76222861877096,406.3082524415513
116,1.114287262063329,262.0095137174079,330.03473461300797
117,1.1767943718168064,225.9089066767452,292.14604937799686
118,1.205908401527807,190.83443565457253,250.25301002015865
119,1.1283442353444548,210.46379921773925,265.7428919071065
120,1.0693506078538155,218.82228411343524,275.9881517458032
121,1.0486638672524378,218.7684269404896,276.92562291391147
122,1.052850260529943,238.73343731167833,289.5378313236262
123,0.989679370203471,290.41583484554286,359.451847216049
124,0.8831492800383339,384.81542460706805,472.34859849407394
125,0.7402367460351231,480.5542228263524,605.3345789133967
126,0.6485989801318828,502.4730455083402,620.3183714757646
127,0.5562540322878207,520.0420402758707,599.6744076067054
128,0.5674418339458278,478.3879285338373,567.0790341788252
129,0.547908044593155,485.60662720960937,550.2933880594608
130,0.5613377435232398,476.58060950418695,562.5463854566316
131,0.6150189534578074,453.6532586627543,568.1510060578242
132,0.6562845905076368,452.7578303317317,575.740822329077
133,0.7948356417002834,419.083446109417,540.6033396139296
134,0.8236916381361207,423.4465909321973,558.8287513573928
135,0.8326084910209293,445.4558480076532,568.912369644581
136,0.895027106569874,409.7954695811398,530.8862684253314
137,0.961530708185257,365.70192120588644,461.86249911195904
138,1.0378070762289284,311.62991052816403,391.86207939193014
139,1.1250900637683914,255.23773860840336,324.4091358676419
140,1.1805962567720913,207.84129824620146,261.0564592228011
141,1.2200838564956766,190.89413103597687,235.87135061855807
142,1.1933852484261125,193.66711684741134,237.3852009566785
143,1.1355609817263483,204.95157219828513,248.252916876625
144,1.0585518640499239,225.00007103364632,271.4299401094341
145,1.0766216340168462,215.36639499905746,259.4162010256368
146,1.0929022186682382,219.61150140085007,265.3919094153624
147,1.0772210577133807,242.44820040507324,293.7606162119938
148,0.9884025002684648,311.246402104287,364.9157639304223
149,0.9254766198451632,361.5737851483196,405.09228256775765
150,0.8003646565571928,377.4666276415307,462.8059345459807
151,0.7219250562740779,406.9984602925095,499.4695596452401
152,0.7106919422093542,393.5845952628014,505.7052123628084
153,0.6782468185678117,382.8686066631617,515.5006654499219
154,0.6701868189193332,407.86878734127896,512.1325835258084
155,0.5630453704585752,444.94811987429915,544.7983306303682
156,0.626871039862958,452.8663200415125,553.5992702153197
157,0.6541745127041918,472.79875761075823,574.8617142278781
158,0.7553980374805426,428.90964139448675,561.0626646054646
159,0.8164674459731069,431.17139343457126,564.8524292048684
160,0.8338012262581656,420.12160499422885,556.2577885954126
161,0.9190681868366146,361.2953036226005,481.8939859843474
162,1.0144827474582938,299.6535189512096,398.8731533266948
163,1.1116966728248663,234.4567568895255,310.0326725702413
164,1.1412851695838198,215.8728647492232,270.04092664996017
165,1.1871377439913147,194.00777476612694,235.1941776573544
166,1.1820512905365,194.64103711026323,229.36354649284334
167,1.1418341974874011,183.92586171965362,228.5547723192831
168,1.0952798740694318,207.30113620863057,250.66441020618217
