Horizon,LPS,MAE,RMSE
1,2.5701719322806023,48.19911136616524,62.25256526527218
2,2.2320108935877694,68.20592251497676,95.80595630670771
3,1.8136819024401434,132.6449732701324,185.38106110648837
4,1.6040046243736839,178.94796885369936,240.1756849666665
5,1.3906753318006377,229.04392562502863,282.9366978901698
6,0.9786807747695249,315.50539680825096,364.3189194169979
7,0.43267151764669365,411.7351381083152,467.4887867957988
8,0.16176028597617034,444.64363674002635,519.2493474077083
9,-0.1906806480880822,508.7257991598842,614.8513584749807
10,-0.3585866583376137,526.9069294687331,678.1191618618118
11,-0.10956394340216631,541.9635511485833,703.2099411470117
12,0.07598683828164754,495.9731905963748,700.4043127665578
13,0.017949664688738872,534.7626393806685,772.111421820081
14,0.4632785639714124,483.7761116254415,682.99589178993
15,0.6525371736674954,475.5992523288651,630.298673549535
16,1.0430597225493181,385.3660639992407,486.55376053612923
17,1.1223872592912914,356.45483404367917,429.6410824157266
18,1.1952041768660338,318.30876186625727,366.03091389951635
19,1.3113715332774605,248.04116568248244,296.7235470696483
20,1.3589753583283055,217.58519566472967,258.46878714166866
21,1.4140975996278382,187.6591092466286,227.23632079820584
22,1.4102228477266412,175.18177955756127,216.24034549854252
23,1.3974300329251406,163.7167576544545,204.36569358862286
24,1.407685705685065,139.01756214683112,185.79037617030247
25,1.403705808437951,142.95770771541822,185.83198380954892
26,1.3578872586433894,164.26203296850585,216.43108810964068
27,1.2765088828940838,215.69459054418755,286.18212018191025
28,1.1688665222560748,297.7501450449872,374.3211370506603
29,1.0566807126438482,348.56042553055613,431.12976227240415
30,1.0610911935128602,357.8441951988976,422.10958961373836
31,0.8336921300008547,406.78198241194985,488.820895472152
32,0.8016886329765195,408.8278545100908,513.9575088621469
33,0.6840665560848014,443.56394898736835,568.0040409274109
34,0.47487474122699286,503.4913621765525,652.2615920495816
35,0.2695394094266528,585.9827576165294,756.7312680322369
36,0.29203214149581164,594.8646166428241,784.1989237246187
37,0.5200938998251424,565.7605500576199,821.3765811727948
38,0.6693068087944006,507.0688625283035,788.7764803817702
39,0.7909746880879653,443.33812382688626,670.6589406391385
40,0.9351555560845706,372.96845133426814,562.1519398330308
41,1.0453244877441634,346.1979940151146,476.8278133677306
42,1.150548427352554,299.8699710012221,396.86276451534167
43,1.2313322366516344,247.23046061463842,321.2506532693221
44,1.3352774876027316,189.49484567535174,256.5349209229143
45,1.4077808632646298,152.1529222859262,207.24613641347645
46,1.4112928944504999,148.8751004387394,190.53880661917836
47,1.3966637186016564,141.7943984658578,183.05116963824702
48,1.3750356807529232,145.02761654203422,184.8841346410423
49,1.37766378357803,138.26908320690947,181.43386286567085
50,1.3623347631233227,156.59556362138787,198.002279609864
51,1.241636053486156,207.25532225498094,280.3956608456878
52,1.1176229643054614,280.61009815645383,383.6924264430079
53,0.9831856584287408,335.14651401599116,469.2583173694327
54,0.9386515236873235,341.2006750518678,484.7473820637894
55,0.9091050681372702,363.20896190616475,485.64640825025685
56,0.8660693642843723,388.13894011299726,497.40362299180543
57,0.7435961915781345,428.8762789981666,545.4335261718577
58,0.5786067254520713,496.5659185884429,633.2596125918997
59,0.5410923444157063,539.8272234333839,675.0612992965322
60,0.5743125141680125,528.5696442599175,670.7231801269656
61,0.7018968771985146,501.5833488813121,651.2832035103831
62,0.9298476411402062,457.1234099998008,611.9354049765893
63,1.0219825129693019,427.2769899135231,597.9552988419737
64,1.08819793431487,382.31662073487627,567.6132390740287
65,1.1409224130517255,332.5289874047874,482.24149902379713
66,1.2043110680702191,291.0467780747336,386.41551781964387
67,1.2609660012987276,238.92560150164485,304.460390592361
68,1.3360364172625052,186.72553902574816,233.31119790453695
69,1.3822682826274442,155.58539611303542,195.88918657946476
