Hour,LPS,MAE,RMSE,Mean_load
0,1.3095840115220503,179.42153016859194,230.01948128321135,4813.7749047619045
1,1.3032161432710636,169.83830277618927,213.71750517124164,4492.5011904761905
2,1.2725424123179367,170.50475330292275,212.60912117027468,4206.305857142857
3,1.2383302949856037,175.34423313179275,220.34076897975277,4019.9969523809523
4,1.4384159880379992,157.5229409066524,205.9483108131801,3991.283857142857
5,1.3813333637700382,174.36042297637607,220.99160950116783,4121.401333333333
6,1.2546047268079317,226.08606109107834,293.9152425643709,4486.814952380952
7,1.1264563647889483,295.7067432345117,380.42285196922705,4991.926619047618
8,1.013741650691725,352.9612914369024,443.60310074563836,5176.729571428571
9,0.8753071993941883,386.200419105533,482.34992230485506,5144.611
10,0.6925639610594273,424.59482941904446,520.1127341821737,4927.584285714286
11,0.5964652829874403,432.99511825455147,547.3082564950107,4716.2536666666665
12,0.45010912319824326,472.5018182832896,587.1324982440441,4611.672761904762
13,0.39034475579933187,500.70297940540087,621.8459604420688,4584.414333333333
14,0.38383414291316076,515.219812442799,648.5929848422834,4662.766523809523
15,0.4334299424356305,515.3533976692331,664.2993530260503,4806.507
16,0.5387170522855442,504.74529204419275,687.5476141859474,5122.587428571428
17,0.7276203246670939,463.7663391060458,658.4966269131006,5580.744523809524
18,0.8432401430797299,445.8585416221631,630.7923853688895,5990.814761904762
19,0.949353008863022,400.2517469860184,573.018588993439,5977.1940476190475
20,1.0115487391463907,362.6492771750955,500.71000927908517,5737.898857142856
21,1.0944829209377198,312.5590610135225,415.3145654830754,5403.39238095238
22,1.1905011354330344,251.11391016461033,326.34767403256734,5042.292333333334
23,1.2541255235949356,208.111769959987,264.18146798839115,4754.084428571429
