Horizon,LPS,MAE,RMSE
1,2.5776137259290537,50.09456872356398,64.43551006130826
2,2.2923811947122723,65.00707557349165,83.94242020793088
3,1.9268916532324443,113.3177048612251,161.07341587752464
4,1.673747989810466,171.57766773805886,226.38021770120477
5,1.4519333899030542,225.760354189649,272.34228948790997
6,1.08263327839117,285.92600512497,338.93986125684734
7,0.5735476727056547,390.90710992153686,436.50621290044245
8,0.28928127129141074,412.02492752459875,492.29135559241774
9,-0.02785936778297297,472.1530541118038,573.9689434895975
10,-0.12035586169363872,504.9307675749875,626.3382352949478
11,-0.13151637049912826,542.7285384983111,661.5335762775759
12,0.1413192982135424,516.0257004838038,651.5513810892506
13,0.16495859420759093,532.7047347350555,722.14770231358
14,0.5479696645414791,467.4689092266518,622.4848529184044
15,0.815136562035087,451.6204369223656,564.3180986388205
16,1.1590634852639774,354.05131263803247,436.77622533230186
17,1.2263289596952491,321.90193307541193,387.35520379811595
18,1.3120009633870384,283.9934977610537,328.1746348726705
19,1.4431426467183486,207.66428232150955,251.08756112690847
20,1.4639142828524174,191.36177229929945,229.21190544445835
21,1.5178533686882154,167.0021111096056,206.2617454703407
22,1.5125057266855877,154.88911398909983,195.76625713656972
23,1.4893873403754894,150.65659930556575,191.4782168054441
24,1.4992305598623892,130.15426029193046,174.42645606968932
25,1.4777956559546905,138.322676330562,180.54202309059306
26,1.4260478326958648,161.08301141386178,203.81732525315536
27,1.3314821880122918,210.16070827304713,271.0576684561132
28,1.18005588271486,302.62189850408066,367.2885899532209
29,1.0565671091503903,356.9240180089107,433.7792546064093
30,1.085544625816133,345.66529766856064,413.76451239385216
31,0.8630211515194819,397.28932684533925,475.6444740049507
32,0.8004168492460624,401.58080178401553,502.96290820966266
33,0.6263406379630275,445.96729510898996,571.5068406638993
34,0.44335806053989063,498.20060222759423,645.6606788996452
35,0.2718900857801246,562.6693690803039,739.0389154569193
36,0.26480374581920874,579.0856194751393,759.7842899656393
37,0.45024976075242396,566.3387144600621,804.5556876789119
38,0.7101321881205147,508.09262130987486,773.7286337687962
39,0.897492120329067,423.3092781821477,662.4919936135659
40,1.0157530258475422,363.0160635302267,554.546365594529
41,1.0920425605257635,319.1770080699213,472.40338828875326
42,1.1868040353953906,273.3008702389053,390.53943372083626
43,1.2863519120860631,225.19605718584666,308.49885749808766
44,1.365559251806282,182.2084897768692,247.2312418685881
45,1.4313277365853847,148.10552120168407,200.5465866461318
46,1.4349946130264175,140.4823749910586,182.4417480549279
47,1.4164991708433825,139.27778436584967,175.6808689973639
48,1.3913995493587588,145.96591687878424,182.54940694541355
49,1.3941799849560825,139.6297490655181,176.88216414152186
50,1.3763958191606762,154.3315767334104,192.30521398170654
51,1.24974241638567,204.49885346011763,277.38680103435047
52,1.13106617657258,278.43659489704464,370.34837764151735
53,1.0192976243664944,330.92834324467316,444.1377086761207
54,0.9578162717231715,338.6166123736459,463.8833276485005
55,0.9140259580071677,352.82010569607326,472.99991471499783
56,0.8699937570408536,377.19753480409173,487.7239120376372
57,0.7304601001156846,426.2824750389252,542.4569228760915
58,0.5467007141407997,483.39401687733056,628.0227345539861
59,0.5157995336307813,536.7281255768576,668.0199036173265
60,0.5458432053422076,524.4765210688213,670.1045434947495
61,0.6799683449157385,498.2415178292739,658.8174323832291
62,0.8830453949738847,465.51255726593024,627.2031033795989
63,0.9510376285369017,442.39928287352154,623.0116896526006
64,1.0255752673899303,396.2476326774174,591.8500740957547
65,1.0931948941764522,344.4316517912665,497.9291331716106
66,1.1809558011697168,289.7380055965851,393.44938590261063
67,1.2507537587890234,240.53673253689047,301.4453387187096
68,1.3237328836467435,186.7604890089706,230.00606295121514
69,1.3725636023998813,152.18087739141876,190.85865195425757
70,1.3612938882681775,139.38499222267768,179.77104164381663
71,1.353320433590587,132.01618990360842,167.7562371705427
72,1.3268939635373793,140.14935598008725,175.8411928931749
73,1.3033138517259275,153.0651698557123,187.7790466974507
74,1.2691359429607723,165.02943207820672,213.11336063976816
75,1.1683030177879674,232.72752478540414,303.92802069311017
76,1.068257350816844,279.1626972376462,400.6527499933506
77,1.0327058694449953,312.38622177522194,432.0191818735812
78,0.7781017576530045,414.72037850235915,528.9479814132187
79,0.5585994535716022,455.1822956387149,579.2232980065819
80,0.403029355716899,494.7452062464814,645.6879571594709
81,0.2597428494393114,555.934180127903,658.2967724723496
82,0.2592462839760843,593.8602254186401,703.8235715636824
83,0.33495621336669396,580.5811750110189,695.3318510772602
84,0.3913272820618831,564.6278816353064,696.8919725200312
85,0.580824708858249,501.9319789982145,678.0179718182081
86,0.8162391077781082,428.0814076498853,641.8820980180436
87,0.916307931875788,417.7026224863165,629.047782608821
88,0.9448026737810712,395.8370793323444,616.3588633451681
89,0.9612082684962174,384.5786603414008,547.1429745981453
90,1.0482061671493872,338.2587051193934,451.1881753658503
91,1.1202870556906732,288.4185394862726,363.7712883972044
92,1.2204073128118518,227.81120790828243,281.17983687470115
93,1.2585177767279319,201.37972122654926,252.3417491029032
94,1.2494741966736576,200.89417043529815,242.51713552390112
95,1.2054490223382606,209.4091792890636,248.64727776970307
96,1.1778821522218517,204.61512128642335,253.53690549523785
97,1.1385270550577533,210.83177629522748,260.2661380932509
98,1.1540236215439004,219.67213878234708,256.07957302407465
99,1.0660674233267615,272.07401393944946,324.4472067012285
100,0.982060162237049,342.9862094757405,404.4395209890549
101,0.885015047077102,413.0728900698295,468.1609706919028
102,0.8080431306035044,413.09501873787565,491.5292113778564
103,0.7011013907052508,436.75679903318525,525.6769371775858
104,0.6051355338779406,464.8494719127491,566.6748708871633
105,0.3797496222492295,536.3415033759856,657.2889524815646
106,0.3924843477712811,552.5840692836006,657.8230230419537
107,0.4404437444391894,556.593175944602,666.9690903172356
108,0.3612778381555989,593.031645962977,742.5787748948819
109,0.4170907148209822,583.0570414577986,810.4422757502775
110,0.5084289283426655,573.3181285631213,822.3501295146909
111,0.6173908121147426,586.3452075270236,822.3057598197688
112,0.708480411607027,538.0097078534935,742.808566703911
113,0.8009322944619813,481.9452662316408,657.4424981690433
114,0.8905073589294834,417.974770418096,546.8376185929262
115,1.031623876227188,322.1218089372358,419.2162491664028
116,1.1152228817757692,265.97900130360597,336.94199881418217
117,1.189206541857143,227.32637431620094,292.6350031510516
118,1.2119185873642522,184.08787672339523,248.28452093996123
119,1.160488076672128,196.06084282382017,253.05289445516277
120,1.1064105568417124,206.07140479239544,263.5327437818788
121,1.069448636531884,216.65588331701184,270.4550137414313
122,1.0608239581044947,250.88385581952872,291.6975465408693
123,0.9906125983050571,305.71897692751685,376.99803742742813
124,0.8924297584151244,384.1282954949498,476.0666831116298
125,0.7321379492365327,479.96884641234516,590.3604620194802
126,0.6377487675156625,512.1365340735542,620.4599053487186
127,0.5304713281524495,539.343461563965,628.6624205237264
128,0.4978620651157417,504.6642568125626,615.7092685652927
129,0.5048331069149773,488.4455198258712,575.8421176467272
130,0.5664109184819561,476.85768414477667,563.3698619682284
131,0.6444632106718956,427.78446173136376,547.3506160037967
132,0.6848689964368329,429.4726795581776,554.8524496349636
133,0.7933330497995231,423.43705443241805,523.7319429292767
134,0.8373031133980672,408.1691682330894,526.2714672249209
135,0.8657756009143492,410.664293742053,526.2513420444897
136,0.9240842215791553,378.96167139005837,489.14832101666605
137,0.9874400891627076,342.1053458761648,427.3446209342356
138,1.0493889606117923,292.28852912791564,367.6438320811158
139,1.1179165943870824,238.6035820998789,306.9006444909771
140,1.1689078408923237,195.43682001869632,245.06165293227994
141,1.2222669713550596,172.90892487323438,218.1597617519332
142,1.1963888032141792,178.39220176408065,214.58559987116556
143,1.1550526192301924,186.76670741174067,222.03889146029584
144,1.0855717599282102,208.25922029245132,241.85889513371106
145,1.108033006110603,194.06076275897098,229.61476991532106
146,1.0905251772122877,204.5158704337861,245.37807994973863
147,1.0491337906053286,244.10464539078822,297.6190424679314
148,0.9575772329557155,311.03383929406084,372.84119008074936
149,0.9185345656635068,351.68836635768736,404.4158320315542
150,0.777262564056672,393.24308725776547,470.1102669297083
