Hour,LPS,MAE,RMSE,Mean_load
0,1.322740252805729,187.71910297257432,238.5051635019603,4813.7749047619045
1,1.3193934033172512,178.1242308943044,221.98625351675574,4492.5011904761905
2,1.289681039551334,174.62466879876945,218.8375461741606,4206.305857142857
3,1.2565731437990042,175.30381111864068,221.37470931520275,4019.9969523809523
4,1.4417819794090931,159.84141415220435,209.24424626108893,3991.283857142857
5,1.37122442300585,179.30957990563434,229.3376366436112,4121.401333333333
6,1.236457777388943,232.43449779463748,305.9844686642923,4486.814952380952
7,1.120120978394318,296.00543466368737,389.7484997359614,4991.926619047618
8,0.9940651550087366,352.46789340445565,451.8162835306153,5176.729571428571
9,0.8532121177490123,393.3288088603633,491.41491800846745,5144.611
10,0.6684878728474342,437.45770620176694,532.9152761247168,4927.584285714286
11,0.5841417462834387,447.0136901995318,560.0732979011732,4716.2536666666665
12,0.4383007790793381,483.62892880290906,601.7177897443121,4611.672761904762
13,0.34016733647955505,512.7459878490904,640.8736743899448,4584.414333333333
14,0.36034199896393637,525.8280275198392,667.1773346171099,4662.766523809523
15,0.4079376193778669,521.6719943534014,680.7123484648289,4806.507
16,0.5038678759692008,507.21904976013326,697.9381183992057,5122.587428571428
17,0.7105844967926692,461.95488507393344,661.8126428772445,5580.744523809524
18,0.8311079678121267,438.53781460545684,625.1803225287883,5990.814761904762
19,0.950896841933581,392.598977397928,564.6432642829349,5977.1940476190475
20,1.01514926937252,367.7981836212279,498.5925739469982,5737.898857142856
21,1.0891924919819689,325.18649881856516,420.41132191934776,5403.39238095238
22,1.1807892176223387,265.2194028426698,339.4309536585482,5042.292333333334
23,1.2588965437322126,219.20388552750921,276.6999976413432,4754.084428571429
