Season,Hour_of_week,Pre_COVID,COVID,Difference
Summer,46,4683.525076923078,4540.081538461538,-143.4435384615399
Summer,47,4481.119846153847,4369.8523076923075,-111.26753846153952
Summer,48,4664.960937500002,4521.943846153846,-143.01709134615612
Summer,49,4274.628906250001,4226.082307692309,-48.54659855769205
Summer,50,4020.554218750001,3978.681538461538,-41.872680288463016
Summer,51,3870.4296874999995,3850.993846153847,-19.435841346152756
Summer,52,3897.2220312499994,3894.662307692308,-2.559723557691541
Summer,53,4143.511406250001,4121.558461538461,-21.952944711539203
Summer,54,4656.134531249999,4583.445384615385,-72.68914663461419
Summer,55,5143.941093750001,4913.375384615384,-230.56570913461655
Summer,56,5145.371093749998,4692.051538461538,-453.3195552884599
Summer,57,5167.296249999999,4466.96846153846,-700.3277884615391
Summer,58,5205.0903124999995,4238.78,-966.3103124999998
Summer,59,5273.654687499998,4142.024615384616,-1131.630072115382
Summer,60,5337.402968750001,4182.505384615384,-1154.8975841346164
Summer,61,5446.83546875,4234.633076923076,-1212.2023918269233
Summer,62,5572.542500000001,4395.946153846154,-1176.5963461538477
Summer,63,5745.019531249999,4567.279230769231,-1177.7403004807684
Summer,64,5958.343124999999,4873.865384615384,-1084.4777403846156
Summer,65,6046.992499999999,5260.917692307693,-786.0748076923064
Summer,66,5941.512968749999,5435.049230769232,-506.4637379807673
Summer,67,5752.6107812499995,5411.3538461538465,-341.25693509615303
Summer,68,5555.940156249999,5299.389999999999,-256.5501562499994
Summer,69,5294.217187499999,5027.755384615384,-266.4618028846153
Summer,70,4836.973593750001,4679.278461538461,-157.6951322115401
Summer,71,4598.5121874999995,4478.076153846154,-120.4360336538457
Summer,72,4768.9076562499995,4617.8530769230765,-151.05457932692298
Summer,73,4355.667187499999,4298.652307692308,-57.014879807691614
Summer,74,4102.82359375,4067.787692307692,-35.035901442308386
Summer,75,3962.4609375,3918.148461538461,-44.312475961538894
Summer,76,3985.4,3942.88,-42.51999999999998
Summer,77,4216.7446875,4182.430769230768,-34.31391826923118
Summer,78,4725.226718749998,4611.032307692308,-114.19441105769056
Summer,79,5241.591875,4936.129230769231,-305.462644230769
Summer,80,5267.3446875,4744.668461538462,-522.676225961538
Summer,81,5328.514531250001,4576.616923076923,-751.897608173078
Summer,82,5355.926406249999,4414.714615384615,-941.2117908653836
Summer,83,5420.445156250001,4428.377692307692,-992.0674639423087
Summer,84,5486.034531250001,4440.2323076923085,-1045.8022235576927
Summer,85,5584.339218749998,4484.657692307692,-1099.6815264423058
Summer,86,5709.899531249998,4598.01,-1111.889531249998
Summer,87,5842.726249999999,4834.701538461539,-1008.02471153846
Summer,88,6047.762187500001,5151.793846153845,-895.9683413461562
Summer,89,6157.30234375,5440.7284615384615,-716.5738822115381
Summer,90,6070.039374999997,5569.824615384616,-500.2147596153809
Summer,91,5866.97453125,5548.426153846154,-318.54837740384573
Summer,92,5681.789218749999,5439.325384615384,-242.46383413461535
Summer,93,5362.884843749999,5120.9800000000005,-241.9048437499987
Summer,94,4894.135625,4712.993076923077,-181.14254807692305
Summer,95,4637.767656249999,4495.193846153847,-142.57381009615256
Summer,96,4791.68734375,4621.630769230769,-170.0565745192307
